                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8809,                 4.6472,                 2.9453,                 0.3957,                0.34706,                0.29394,                0.17438,                 3.2904,                 4.2065,                 3.3234,                0.00333,                0.00333,                0.00333
                      2,                 2.2216,                  2.338,                 2.4079,                0.29193,                0.25638,                0.20397,                0.12022,                 3.6739,                 5.6764,                 3.6064,              0.0065974,              0.0065974,              0.0065974
                      3,                 2.3001,                 2.3878,                 2.4489,                0.25709,                0.27571,                0.21762,                0.12119,                 3.8689,                 5.5164,                 3.7203,              0.0097987,              0.0097987,              0.0097987
                      4,                 2.3747,                 2.4743,                 2.5035,                0.24148,                0.30841,                0.24648,                0.14401,                 3.7388,                 4.5681,                 3.7476,               0.009703,               0.009703,               0.009703
                      5,                 2.1557,                 2.1328,                 2.3802,                0.38794,                0.23592,                0.24543,                0.15543,                 3.5841,                 4.8601,                  3.624,               0.009703,               0.009703,               0.009703
                      6,                 1.9842,                 1.9048,                 2.2843,                0.35877,                0.29712,                 0.2669,                0.16389,                 3.5663,                  4.595,                 3.6305,               0.009604,               0.009604,               0.009604
                      7,                 1.8471,                 1.7078,                 2.2073,                0.33265,                0.30496,                  0.258,                0.15089,                   3.56,                 5.6729,                 3.5387,               0.009505,               0.009505,               0.009505
                      8,                 1.7453,                 1.5757,                 2.1561,                0.37713,                 0.2477,                 0.2439,                0.14889,                 3.6976,                 5.1953,                 3.7624,               0.009406,               0.009406,               0.009406
                      9,                 1.6608,                 1.4807,                 2.1132,                0.36609,                0.28114,                0.26284,                0.15026,                  3.774,                 5.5454,                 3.8616,               0.009307,               0.009307,               0.009307
                     10,                 1.5994,                 1.3962,                 2.0766,                0.39051,                0.24955,                0.23717,                0.13673,                 3.9113,                 5.8247,                   3.84,               0.009208,               0.009208,               0.009208
                     11,                 1.5298,                 1.3053,                 2.0462,                0.43583,                0.31905,                0.30767,                 0.1747,                 3.6025,                 5.1195,                 3.7777,               0.009109,               0.009109,               0.009109
                     12,                 1.4858,                 1.2676,                 2.0309,                0.47946,                0.32456,                0.27686,                0.17038,                 3.6977,                 5.0091,                 3.7277,                0.00901,                0.00901,                0.00901
                     13,                 1.4368,                 1.2157,                 2.0044,                0.41347,                0.29693,                0.26937,                 0.1545,                 3.7328,                  4.968,                 3.8264,               0.008911,               0.008911,               0.008911
                     14,                 1.3913,                 1.1549,                 1.9744,                0.37257,                0.30792,                 0.2623,                0.15651,                 3.6093,                 5.2039,                 3.6371,               0.008812,               0.008812,               0.008812
                     15,                 1.3495,                 1.1198,                 1.9574,                 0.4492,                0.26684,                0.25341,                0.15229,                 3.7631,                 5.4226,                 3.9068,               0.008713,               0.008713,               0.008713
                     16,                 1.3148,                 1.0839,                  1.946,                   0.39,                0.29393,                0.28107,                0.16024,                  3.952,                 5.2788,                 3.8801,               0.008614,               0.008614,               0.008614
                     17,                  1.294,                  1.061,                 1.9303,                0.42202,                0.30416,                 0.2636,                0.15296,                 3.9774,                 5.5973,                 3.9409,               0.008515,               0.008515,               0.008515
                     18,                 1.2537,                 1.0126,                 1.9166,                0.43016,                0.27181,                0.24177,                0.14882,                 3.9849,                 6.5058,                 4.0566,               0.008416,               0.008416,               0.008416
                     19,                 1.2422,                0.99926,                 1.9095,                 0.4347,                0.28781,                0.28251,                0.16006,                 3.9826,                 5.3867,                 3.9555,               0.008317,               0.008317,               0.008317
                     20,                 1.2093,                0.95779,                 1.8957,                 0.4338,                 0.2749,                0.26338,                0.16014,                 3.7322,                 5.8611,                 3.8077,               0.008218,               0.008218,               0.008218
                     21,                 1.1939,                0.94356,                 1.8877,                0.45541,                0.24472,                0.24309,                0.14884,                 3.9746,                 6.9403,                  3.868,               0.008119,               0.008119,               0.008119
