                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5901,                 3.6195,                 1.6808,                0.42475,                0.20257,                0.17816,                0.08925,                 1.8331,                 3.1803,                 1.9824,              0.0033289,              0.0033289,              0.0033289
                      2,                 1.3025,                 2.2908,                 1.4186,                0.31076,                0.23765,                0.24498,                0.13372,                 1.8883,                 2.8552,                 2.0399,              0.0065963,              0.0065963,              0.0065963
                      3,                 1.2752,                 1.7982,                  1.395,                0.30165,                0.19136,                0.17581,                0.08863,                  2.027,                 3.0239,                 2.1833,              0.0097977,              0.0097977,              0.0097977
                      4,                 1.2407,                 1.5041,                 1.3703,                 0.2074,                0.22975,                0.18646,                0.10318,                 1.8959,                 2.7095,                 2.1004,               0.009703,               0.009703,               0.009703
                      5,                 1.1145,                 1.2607,                 1.2918,                0.24438,                0.24069,                0.18428,                0.10793,                 1.9284,                 3.1584,                 2.0614,               0.009703,               0.009703,               0.009703
                      6,                 1.0272,                 1.1073,                 1.2363,                 0.2999,                0.27202,                0.22691,                 0.1285,                 1.9556,                 2.5759,                 2.1759,               0.009604,               0.009604,               0.009604
                      7,                0.97371,                 1.0095,                  1.198,                0.32607,                0.23422,                0.21449,                0.12781,                 1.8964,                 2.8728,                  2.078,               0.009505,               0.009505,               0.009505
                      8,                0.92289,                0.93538,                 1.1603,                0.32973,                0.29009,                0.23594,                 0.1343,                 1.9224,                 2.9293,                 2.1229,               0.009406,               0.009406,               0.009406
                      9,                0.87765,                0.87332,                 1.1337,                0.31248,                0.26102,                0.22311,                0.13168,                  1.895,                 2.8603,                 2.1005,               0.009307,               0.009307,               0.009307
                     10,                 0.8569,                0.82956,                 1.1187,                0.32896,                0.27825,                0.22763,                0.13814,                 1.8149,                 2.8344,                 2.1474,               0.009208,               0.009208,               0.009208
                     11,                0.83237,                0.79645,                 1.1015,                0.42059,                0.21551,                0.21424,                0.12008,                 1.9583,                 3.1993,                 2.2409,               0.009109,               0.009109,               0.009109
                     12,                0.80389,                0.75781,                 1.0861,                0.40996,                0.26308,                0.24429,                0.14426,                 1.9125,                 2.8117,                 2.1429,                0.00901,                0.00901,                0.00901
                     13,                0.77416,                0.72078,                 1.0671,                0.43232,                0.21586,                0.23354,                0.13916,                 1.8079,                 3.1686,                 1.9974,               0.008911,               0.008911,               0.008911
                     14,                0.76002,                0.70044,                 1.0591,                0.36772,                0.28457,                0.24082,                 0.1431,                 1.9646,                 2.9335,                 2.1232,               0.008812,               0.008812,               0.008812
                     15,                0.74588,                0.68631,                 1.0529,                0.40809,                0.23123,                 0.2273,                0.13488,                 1.9941,                 3.0104,                 2.1151,               0.008713,               0.008713,               0.008713
                     16,                0.73538,                0.66346,                 1.0433,                 0.4017,                0.26749,                0.24851,                0.14538,                 1.8281,                 2.9174,                 1.9928,               0.008614,               0.008614,               0.008614
