                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7218,                  4.288,                 2.8884,                0.39983,                0.29216,                0.28945,                0.17797,                 3.3676,                 4.4548,                 3.4408,              0.0033317,              0.0033317,              0.0033317
                      2,                 2.1403,                 2.2925,                 2.4265,                0.41283,                0.28846,                0.26963,                0.14915,                 3.6573,                 4.5207,                  3.703,               0.006599,               0.006599,               0.006599
                      3,                 2.2724,                 2.4427,                 2.5169,                0.39966,                0.21269,                0.21761,                0.12452,                  3.909,                 5.2637,                  3.943,              0.0098004,              0.0098004,              0.0098004
                      4,                 2.3251,                 2.4636,                 2.5418,                0.33616,                0.28678,                0.27695,                0.15443,                 3.7454,                  4.727,                 3.8711,               0.009703,               0.009703,               0.009703
                      5,                 2.1134,                  2.142,                 2.4284,                0.37171,                0.35452,                0.29953,                0.16053,                 3.7872,                 4.7357,                 3.9103,               0.009703,               0.009703,               0.009703
                      6,                 1.9494,                 1.8921,                 2.3166,                0.38205,                 0.2916,                0.23931,                0.13871,                 3.7561,                 5.7154,                 3.6317,               0.009604,               0.009604,               0.009604
                      7,                 1.8138,                 1.7119,                 2.2446,                0.43304,                0.28975,                0.25315,                0.14301,                 3.6415,                 5.5755,                 3.6235,               0.009505,               0.009505,               0.009505
                      8,                    1.7,                  1.559,                 2.1801,                0.35809,                0.31275,                 0.2405,                0.13364,                 3.9214,                 6.0181,                 3.9334,               0.009406,               0.009406,               0.009406
                      9,                 1.6101,                  1.457,                 2.1326,                0.34814,                0.35375,                0.30011,                0.16255,                 3.6044,                 4.8925,                 3.7744,               0.009307,               0.009307,               0.009307
                     10,                 1.5363,                 1.3671,                 2.0937,                0.45187,                0.30288,                 0.2695,                0.15482,                 3.6709,                 5.1128,                 3.6351,               0.009208,               0.009208,               0.009208
                     11,                 1.4746,                 1.2991,                 2.0687,                0.45285,                0.31017,                0.29026,                0.16522,                 3.4435,                 5.1551,                 3.6504,               0.009109,               0.009109,               0.009109
