                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3249,                 7.7365,                  3.517,                0.81955,                0.07018,                0.07144,                0.03334,                 3.8364,                 5.3312,                 3.3029,             0.00027529,             0.00027529,             0.00027529
                      2,                 4.1875,                 5.0292,                 3.3878,                0.56375,                0.11908,                0.06316,                  0.028,                 4.1077,                 5.0821,                 3.5803,             0.00054749,             0.00054749,             0.00054749
                      3,                 4.2418,                 4.9216,                 3.4464,                0.47473,                0.09091,                0.06678,                0.03061,                 4.3278,                 6.3032,                 3.5702,             0.00081418,             0.00081418,             0.00081418
                      4,                  4.205,                 4.9447,                 3.4895,                0.54314,                0.07621,                0.06416,                0.02839,                 4.3185,                 5.1406,                 3.7024,             0.00080826,             0.00080826,             0.00080826
                      5,                 4.0784,                 4.6437,                 3.3706,                0.47879,                0.23552,                0.13405,                0.06515,                 3.9024,                 5.3572,                 3.2708,             0.00080826,             0.00080826,             0.00080826
                      6,                 3.9992,                 4.5274,                 3.3219,                0.66152,                 0.1144,                0.12569,                 0.0567,                 3.8603,                 4.6823,                  3.232,             0.00080001,             0.00080001,             0.00080001
                      7,                 3.8282,                 4.4079,                 3.2113,                0.67823,                0.14726,                0.13622,                0.07348,                 3.7466,                 4.3507,                 3.1925,             0.00079177,             0.00079177,             0.00079177
                      8,                 3.8541,                  4.325,                 3.2237,                0.59933,                0.10999,                 0.1029,                   0.05,                 3.8708,                 4.4321,                 3.2102,             0.00078352,             0.00078352,             0.00078352
                      9,                 3.8077,                 4.2849,                 3.1877,                0.60021,                0.17378,                0.13672,                0.06618,                 3.6316,                 4.3182,                 3.0938,             0.00077527,             0.00077527,             0.00077527
                     10,                 3.7463,                 4.1582,                 3.1724,                0.79372,                0.14862,                0.14925,                0.07653,                 3.5647,                 4.0003,                 3.0899,             0.00076703,             0.00076703,             0.00076703
                     11,                  3.686,                 4.1566,                 3.1787,                0.73327,                0.17398,                0.15508,                0.07561,                  3.525,                 4.0447,                  3.056,             0.00075878,             0.00075878,             0.00075878
                     12,                 3.6738,                 4.1241,                 3.1123,                0.54602,                0.20093,                 0.1611,                0.08021,                 3.6164,                 4.0913,                 3.0418,             0.00075053,             0.00075053,             0.00075053
                     13,                 3.6473,                 4.0407,                 3.1098,                0.52598,                 0.1517,                0.16727,                0.08301,                 3.6246,                 3.9886,                 3.0659,             0.00074229,             0.00074229,             0.00074229
                     14,                 3.6711,                 4.0394,                 3.0981,                0.78565,                 0.1673,                0.15894,                0.08258,                 3.5598,                 4.1268,                 2.9951,             0.00073404,             0.00073404,             0.00073404
                     15,                 3.6098,                 3.8944,                 3.0503,                0.56772,                0.22434,                0.17147,                0.08224,                 3.5177,                 3.8571,                 3.0023,             0.00072579,             0.00072579,             0.00072579
                     16,                 3.5631,                 3.8951,                  3.035,                0.67101,                0.15223,                0.16347,                0.08039,                 3.4656,                 3.8909,                 2.9642,             0.00071755,             0.00071755,             0.00071755
                     17,                 3.5195,                 3.8894,                 3.0236,                0.67065,                0.27793,                0.20654,                0.10457,                 3.3923,                 3.8627,                 2.9332,              0.0007093,              0.0007093,              0.0007093
                     18,                 3.4763,                 3.7168,                 2.9931,                 0.6449,                0.29792,                0.18096,                0.08282,                 3.5757,                 4.2936,                 3.0009,             0.00070105,             0.00070105,             0.00070105
                     19,                 3.4665,                 3.7285,                 2.9769,                0.67727,                0.20239,                0.18931,                0.09617,                 3.3569,                 3.7955,                 2.9209,             0.00069281,             0.00069281,             0.00069281
                     20,                 3.4651,                  3.752,                 2.9951,                0.52283,                0.24118,                0.18992,                0.10086,                 3.3657,                 3.8501,                 2.9307,             0.00068456,             0.00068456,             0.00068456
                     21,                 3.4413,                 3.6926,                 2.9963,                0.53677,                0.21923,                0.18704,                0.10096,                  3.378,                  3.648,                 2.8852,             0.00067631,             0.00067631,             0.00067631
