                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4435,                 6.8181,                 3.6965,                0.30131,                0.05811,                 0.0436,                0.01756,                 4.6544,                 5.7173,                 3.9468,             0.00027667,             0.00027667,             0.00027667
                      2,                 4.5262,                 5.4717,                 3.7768,                0.54614,                0.04167,                0.05248,                0.02048,                 4.4849,                 6.1256,                 3.9165,             0.00054885,             0.00054885,             0.00054885
                      3,                 4.5739,                 5.3982,                 3.7865,                0.43312,                0.06119,                0.03684,                0.01544,                 4.4399,                 5.4231,                 3.8628,             0.00081553,             0.00081553,             0.00081553
                      4,                 4.4741,                 5.2331,                 3.7266,                0.56889,                0.05807,                0.07462,                0.03298,                 4.3186,                 5.5419,                 3.7254,             0.00080826,             0.00080826,             0.00080826
                      5,                 4.3473,                 5.1006,                 3.6711,                0.56304,                0.06937,                0.10676,                0.05378,                 3.9017,                  4.799,                 3.3848,             0.00080826,             0.00080826,             0.00080826
                      6,                 4.1985,                 4.9186,                 3.5383,                0.56007,                0.10311,                  0.077,                0.03708,                 3.8766,                 4.9199,                 3.4106,             0.00080001,             0.00080001,             0.00080001
                      7,                 4.1539,                 4.8065,                 3.4963,                0.70141,                0.09256,                0.09701,                0.04289,                 3.9485,                 4.5769,                  3.445,             0.00079177,             0.00079177,             0.00079177
                      8,                 4.0716,                 4.7217,                 3.4527,                0.51056,                0.12422,                0.13677,                0.06802,                  3.832,                 4.4664,                 3.3037,             0.00078352,             0.00078352,             0.00078352
                      9,                 4.0008,                 4.7754,                 3.3914,                 0.5852,                0.09536,                0.10371,                0.04621,                  3.698,                  4.423,                 3.1779,             0.00077527,             0.00077527,             0.00077527
                     10,                  3.914,                 4.5283,                 3.3371,                0.59807,                0.09008,                0.13715,                0.06389,                 3.6124,                 4.2077,                 3.1778,             0.00076703,             0.00076703,             0.00076703
                     11,                 3.8736,                 4.4703,                 3.3037,                 0.6195,                0.13571,                0.15438,                0.06745,                 3.6645,                 4.3646,                 3.1999,             0.00075878,             0.00075878,             0.00075878
                     12,                 3.8096,                 4.3964,                  3.291,                0.55112,                0.17936,                0.16685,                0.08025,                 3.6095,                 4.2094,                 3.1678,             0.00075053,             0.00075053,             0.00075053
                     13,                 3.7677,                 4.3923,                  3.277,                0.53522,                 0.2093,                0.16946,                0.07856,                 3.5517,                 4.2657,                  3.167,             0.00074229,             0.00074229,             0.00074229
                     14,                 3.7917,                 4.3393,                 3.2851,                0.70009,                0.10855,                0.15302,                0.07797,                 3.4694,                 4.1667,                 3.1271,             0.00073404,             0.00073404,             0.00073404
                     15,                 3.7722,                 4.3315,                 3.2491,                0.65333,                0.15543,                0.17983,                0.09328,                 3.5176,                 4.2824,                 3.1142,             0.00072579,             0.00072579,             0.00072579
                     16,                 3.7129,                  4.258,                 3.2214,                0.63702,                0.16549,                0.17417,                0.08823,                 3.5312,                 4.1311,                 3.1104,             0.00071755,             0.00071755,             0.00071755
                     17,                 3.6098,                 4.1985,                 3.1232,                0.50414,                0.19924,                0.15953,                0.08491,                 3.5296,                 4.0847,                 3.0929,              0.0007093,              0.0007093,              0.0007093
                     18,                 3.6639,                 4.1722,                 3.1772,                0.69138,                0.21138,                0.18419,                0.08857,                 3.5699,                 4.0571,                 3.1067,             0.00070105,             0.00070105,             0.00070105
                     19,                 3.6419,                 4.1056,                 3.1781,                0.44904,                0.18095,                0.17116,                0.08294,                 3.4464,                 3.9732,                 3.0823,             0.00069281,             0.00069281,             0.00069281
                     20,                 3.5675,                 4.0488,                 3.1567,                0.57008,                0.24479,                0.20767,                0.11413,                 3.5179,                 3.9531,                 3.0679,             0.00068456,             0.00068456,             0.00068456
                     21,                 3.6157,                 4.0083,                 3.1286,                0.76559,                0.17168,                0.19415,                0.10283,                  3.456,                 3.9129,                 3.0715,             0.00067631,             0.00067631,             0.00067631
                     22,                 3.5596,                 3.8967,                 3.1069,                0.69068,                0.18199,                0.20583,                0.10447,                 3.4454,                 3.9048,                 3.0587,             0.00066807,             0.00066807,             0.00066807
                     23,                  3.526,                  3.885,                 3.0517,                0.59752,                0.18371,                0.18631,                0.09825,                 3.4633,                 3.8308,                  3.021,             0.00065982,             0.00065982,             0.00065982
                     24,                 3.4644,                 3.8705,                 3.0355,                0.67072,                0.24481,                0.19097,                0.10251,                  3.356,                 3.8845,                 3.0214,             0.00065157,             0.00065157,             0.00065157
                     25,                 3.5286,                 3.8527,                 3.0486,                0.74203,                0.16307,                0.20645,                0.10595,                 3.3498,                 3.8045,                 2.9892,             0.00064333,             0.00064333,             0.00064333
                     26,                 3.4747,                 3.8136,                  3.029,                0.59057,                0.21375,                0.20447,                0.10729,                 3.3318,                 3.7179,                 2.9924,             0.00063508,             0.00063508,             0.00063508
                     27,                 3.4525,                 3.7793,                  3.038,                0.72011,                0.18329,                0.19799,                0.10646,                 3.3498,                 3.7322,                 3.0011,             0.00062683,             0.00062683,             0.00062683
                     28,                 3.4206,                 3.7504,                 3.0119,                0.41297,                0.24023,                0.20948,                0.10793,                 3.3531,                 3.7352,                 3.0014,             0.00061859,             0.00061859,             0.00061859
                     29,                 3.4034,                 3.6764,                 2.9823,                0.56411,                0.23489,                0.21067,                0.10433,                 3.3547,                 3.6549,                 2.9947,             0.00061034,             0.00061034,             0.00061034
                     30,                 3.3144,                 3.5826,                 2.9389,                0.44086,                0.22477,                0.21056,                0.11107,                 3.4223,                 3.7565,                 3.0235,             0.00060209,             0.00060209,             0.00060209
